OverallQual,GrLivArea,GarageArea,YearBuilt,FullBath,LotArea,LotFrontage,Fireplaces,SalePrice
6,1092,504,1964,1,8250,75.0,0,145000
5,1113,264,1950,1,9600,80.0,1,147000
4,864,0,1971,1,10500,70.0,1,115000
7,1804,442,1999,2,7500,60.0,1,189000
6,2614,624,1974,2,10800,90.0,1,240000
7,1314,626,2007,2,5001,34.0,1,230000
7,1923,564,1992,2,10186,107.0,1,190000
7,1484,606,2004,2,8400,70.0,0,213000
4,708,0,1940,1,5330,50.0,0,82500
8,1713,856,2004,2,9591,76.0,1,274900
5,1269,308,1960,1,7931,70.0,1,155000
8,2097,1134,2005,1,20896,49.0,1,423000
5,864,288,1972,1,9560,120.0,0,128500
9,2184,836,2008,2,11308,96.0,1,335000
8,1624,757,1994,2,12461,89.0,1,262000
5,1040,384,1965,1,11200,70.0,0,129500
7,2035,434,2001,2,9505,70.0,1,222500
8,1494,481,1995,1,9549,30.0,1,270000
7,1314,626,2007,2,5063,34.0,1,207500
6,1743,539,1968,1,11700,90.0,1,175000
7,2127,833,1991,2,13125,103.0,1,238000
5,1716,0,1912,2,5687,55.0,0,135900
7,1358,484,2009,2,6371,44.0,1,224000
7,1430,400,2000,2,9967,76.0,1,170000
7,1221,400,2004,2,7500,62.0,0,185000
7,2094,615,2003,2,9375,75.0,1,263000
5,864,360,1965,1,8281,60.0,1,62383
5,1053,750,1958,1,8973,69.0,0,150000
5,1701,611,1975,2,16647,70.0,2,171000
5,1056,308,1958,1,8176,70.0,0,139000
3,1163,220,1955,1,5820,49.0,0,126175
7,1665,562,2007,2,8125,65.0,0,205950
6,1196,528,1920,1,12354,67.0,0,110000
9,3140,820,2008,3,13518,104.0,2,485000
7,1682,530,1970,2,10400,80.0,1,174000
5,1072,525,2005,1,3675,35.0,0,145000
7,1547,614,2009,2,8640,72.0,0,215200
9,1905,788,2006,2,11670,84.0,1,320000
7,1661,550,1996,2,10667,43.0,1,212000
6,1350,520,1964,1,9020,82.0,0,168500
6,1845,462,1992,2,11218,70.0,1,189000
5,1601,300,1958,1,13825,85.0,0,140000
6,1498,409,1995,2,13031,70.0,1,187500
7,1947,678,2004,2,12552,100.0,1,254900
5,1098,260,1955,1,7390,70.0,0,135000
6,1054,460,1969,1,9750,65.0,0,151000
5,928,288,1957,1,6000,50.0,0,112500
7,1820,240,1925,2,9120,60.0,0,184000
7,3082,672,1920,2,15863,102.0,2,197000
4,1788,304,1957,1,11250,70.0,2,161500
5,1022,280,1910,1,7200,60.0,0,85000
7,1274,508,2005,2,8814,68.0,0,203000
9,2504,656,2005,2,11198,77.0,1,325000
9,2153,736,2000,2,11050,70.0,2,313000
8,2031,577,2002,2,9473,75.0,1,237000
6,1824,520,1919,1,13515,60.0,1,180500
5,1008,275,1954,1,11425,70.0,1,137000
5,694,352,1913,1,4280,40.0,1,90350
6,1728,574,1976,2,12640,55.0,0,150900
7,1588,472,1999,2,10264,78.0,0,214000
5,1392,528,1957,1,11341,70.0,1,121500
7,1969,534,1977,2,11952,92.0,1,190000
7,1504,457,2005,2,3182,43.0,1,181000
5,1276,350,1958,1,9571,68.0,0,60000
9,1800,702,2007,2,11923,122.0,0,239000
6,816,0,1990,1,11841,81.0,0,118500
5,1040,625,1950,1,7200,60.0,0,109500
5,924,280,1975,1,7990,88.0,0,110000
6,832,528,1954,1,7227,59.0,0,105500
7,1886,431,1998,2,11214,70.0,1,199900
7,2196,701,1990,2,14684,90.0,1,271900
5,1039,504,1965,1,11625,75.0,0,131500
5,1271,312,1948,2,21286,115.0,1,135000
5,1367,384,1900,1,8405,50.0,0,119000
7,2093,542,1986,2,20544,46.0,1,215000
5,864,338,1972,1,15523,36.0,1,133500
6,2447,336,1919,2,9638,50.0,1,169000
6,1054,480,1963,1,8800,80.0,0,137500
5,1120,0,2007,1,8402,70.0,0,147000
7,1616,834,2005,2,8688,73.0,0,232000
5,1073,515,1965,1,10289,79.0,0,156000
5,1389,418,1974,1,10010,77.0,1,170000
4,861,539,1940,1,12342,70.0,0,82500
7,1135,576,1936,1,7200,60.0,0,155000
8,2828,1052,2006,3,9965,77.0,1,424870
8,1616,608,1995,2,5389,39.0,1,236500
5,1437,528,1976,2,10768,90.0,1,218000
7,1630,451,2000,2,9750,75.0,1,213000
8,1800,765,2002,2,14331,85.0,1,312500
6,1855,512,1976,2,9600,80.0,1,187000
7,2084,618,2004,2,10142,76.0,0,233000
5,1111,200,1941,1,9084,60.0,0,95000
3,729,0,1935,1,4130,56.0,0,52000
6,1586,435,1979,2,17043,48.0,1,181000
9,2234,1166,2008,2,17423,63.0,1,501837
4,858,0,1971,1,8125,70.0,0,88000
5,833,0,1985,1,8780,70.0,0,112000
5,1283,506,1962,1,7763,70.0,0,140000
6,1644,418,1953,1,9600,80.0,2,167000
6,1383,292,1960,1,11600,80.0,0,145250
6,2073,500,1978,2,13175,85.0,2,210000
5,1539,686,1904,2,10440,60.0,1,157500
7,1552,782,2005,2,10084,84.0,0,212900
5,925,429,1965,1,9100,70.0,0,117500
7,1414,494,2004,2,8773,65.0,0,185500
3,1526,0,1915,1,8470,105.0,0,85000
5,1712,588,1959,2,8393,70.0,0,145000
8,1717,908,2006,2,11146,87.0,1,255500
5,1750,240,1880,1,9000,50.0,0,124000
6,1176,624,1937,1,6000,50.0,0,134900
8,1936,504,2000,2,11194,106.0,1,230500
4,858,684,1971,1,7340,70.0,0,110000
8,1919,685,2006,2,15611,120.0,1,233230
7,1762,576,1920,1,7200,60.0,0,157000
5,1728,576,1965,2,13101,74.0,0,142600
7,1626,474,2003,2,2448,36.0,0,154000
7,1496,426,2006,2,17104,58.0,1,179665
6,790,160,1930,1,6292,52.0,0,91000
7,1935,550,1976,2,12384,70.0,1,197900
7,1964,483,1976,2,10480,80.0,1,205000
8,1666,228,1925,1,5100,70.0,1,161000
5,985,328,1977,2,8385,65.0,0,149900
7,1358,484,2004,2,8198,59.0,1,207000
6,848,420,2004,1,4426,70.0,0,143000
8,1970,753,2006,2,11065,86.0,1,281000
8,2046,834,2008,2,11844,80.0,1,372500
7,1865,839,2000,2,10316,70.0,1,235000
6,2134,441,1916,2,11888,70.0,0,214500
7,2646,656,1993,2,9900,90.0,1,260000
6,1236,923,1957,1,7407,90.0,0,149700
5,902,484,1983,1,8885,70.0,0,131000
5,912,352,1962,1,12968,70.0,0,144000
6,1382,884,1962,1,19296,120.0,1,176000
5,2020,630,1977,2,8400,60.0,2,144000
6,1052,440,1971,1,8816,80.0,0,155000
8,2531,752,1995,2,12257,65.0,1,290000
8,1852,660,1999,2,9066,73.0,2,230000
8,1660,500,2006,2,10182,85.0,1,290000
9,1709,506,1999,2,5119,50.0,1,328900
6,912,288,1961,1,6768,65.0,0,142000
6,1764,470,1997,2,15426,65.0,0,231500
6,1395,497,1972,1,12936,70.0,1,162000
5,1040,308,1963,1,7500,75.0,0,133000
10,2392,968,2003,2,13472,103.0,1,386250
6,1103,440,1925,1,6000,50.0,1,110500
8,2078,836,2007,2,10800,85.0,1,339750
5,803,360,1941,1,5000,50.0,0,87000
6,1152,300,1950,1,14000,80.0,1,158500
7,1173,528,1974,2,10625,85.0,2,170000
4,1092,0,1930,2,5600,70.0,0,55000
5,1784,180,1914,1,13132,96.0,0,138887
7,1920,487,1968,3,10192,102.0,1,170000
7,1670,690,2006,2,14859,50.0,1,240000
7,1223,480,2005,2,2544,24.0,0,147400
7,1801,484,1959,2,15602,100.0,2,289000
5,1656,506,1973,2,9246,87.0,0,135000
7,1717,642,1915,1,9550,60.0,1,140000
9,2599,779,1999,2,14774,108.0,1,333168
5,1644,312,1942,1,9480,79.0,2,146500
8,2468,872,2004,2,12099,99.0,1,354000
5,1362,480,1993,1,14115,85.0,0,143000
8,1484,472,2006,2,9037,64.0,1,265900
5,1200,884,1965,1,9230,71.0,0,146000
6,1350,478,1974,2,10140,78.0,1,165000
4,1152,0,1955,2,6040,65.0,0,82000
7,1680,583,1998,2,10140,78.0,1,213250
5,1440,352,1900,1,5000,63.0,0,79000
5,1214,318,1967,2,10355,70.0,1,143000
6,1479,475,1976,2,13517,70.0,0,130500
8,1801,800,2005,2,10463,72.0,1,239900
6,1494,213,1942,1,7500,70.0,2,177500
7,2329,514,1990,2,11839,86.0,1,262280
8,1588,825,2006,2,10000,85.0,1,227000
6,1194,539,1959,1,8910,79.0,1,159500
6,1494,576,1997,2,9236,79.0,0,217000
8,3238,666,1995,2,14720,56.0,1,410000
5,914,576,1996,1,8846,57.0,0,148000
7,1641,546,1925,1,9600,60.0,1,178000
5,1573,360,1930,2,6240,52.0,1,162900
7,1472,588,1980,2,14115,70.0,2,187500
6,1750,423,1940,2,12508,75.0,0,160000
8,1768,578,2007,2,10769,68.0,0,212000
6,1196,297,1956,1,9000,72.0,1,139000
4,1126,520,1949,2,8777,67.0,0,108000
4,845,290,1957,1,11500,70.0,0,84000
5,1968,530,1969,2,11075,70.0,1,172000
5,1221,392,1924,1,9738,60.0,0,104900
6,1368,216,1910,1,3600,60.0,0,114504
6,987,280,1970,1,1869,21.0,0,106000
7,1442,719,1990,2,10357,114.0,1,179900
4,1220,396,1951,1,8877,67.0,0,102000
7,1500,570,2004,2,8487,63.0,0,190000
8,2450,1069,1998,2,16545,70.0,1,340000
7,2207,576,1970,2,19900,70.0,1,180000
7,1208,632,2006,2,6762,64.0,0,206000
5,1795,352,1954,2,12150,81.0,0,131500
4,1440,0,1977,2,7711,42.0,0,150000
6,1212,460,2009,2,10420,83.0,0,186000
7,1111,288,1926,1,5700,70.0,1,116900
8,2715,831,1976,3,8963,70.0,2,299800
7,1724,527,1998,2,8924,57.0,0,188000
6,1328,528,1963,1,9790,70.0,2,143000
5,1052,288,1968,1,8400,70.0,0,138500
8,2417,462,1991,2,16059,121.0,1,260000
4,948,280,1954,1,8190,60.0,1,119000
7,2019,532,1910,1,11414,60.0,0,167500
4,869,0,1923,1,5900,51.0,0,85500
8,1554,627,2006,2,4590,34.0,1,209500
6,2112,576,1969,2,11075,85.0,2,206900
6,1593,398,2004,2,7415,62.0,1,193000
6,1381,676,1972,1,9360,78.0,1,197500
6,1632,338,1958,2,9600,80.0,1,139000
5,954,240,1938,1,6305,50.0,1,119750
7,1922,672,2003,3,7301,64.0,1,198500
5,980,484,1977,1,7064,71.0,0,135000
7,1786,608,2001,2,11250,68.0,1,223500
8,1694,636,2004,2,10084,75.0,1,307000
6,972,240,1948,1,8000,50.0,1,132000
5,1437,576,1956,1,14175,70.0,1,168000
8,2263,905,2001,2,9240,70.0,1,287000
7,1725,550,1979,2,11584,80.0,1,197000
5,1236,447,1957,1,10011,72.0,1,134450
5,1040,286,1959,1,7560,70.0,0,133700
8,1704,772,2007,2,11478,98.0,1,306000
6,1523,478,1976,2,11361,104.0,1,180000
8,1489,776,2006,2,11216,81.0,1,232600
7,1569,660,2007,2,3635,51.0,1,175900
7,1212,573,2001,2,9100,70.0,0,178000
7,1573,544,2002,2,9808,67.0,0,227000
6,1790,484,1972,1,10400,80.0,1,165150
6,1728,673,2003,2,8791,64.0,0,207500
8,1600,890,2007,2,14230,110.0,1,256300
9,1922,676,2005,2,14157,86.0,1,377426
7,1692,650,2009,2,13159,83.0,0,224500
8,1656,826,2006,2,11096,84.0,0,249700
4,1047,273,1885,1,10800,60.0,0,100000
9,2728,706,2005,2,20431,56.0,2,437154
6,1425,576,1964,2,10175,100.0,1,180500
6,952,192,1916,1,8854,70.0,1,121000
5,990,576,1995,1,13568,43.0,0,156000
6,988,540,1969,1,21453,70.0,2,180000
4,1056,384,1966,1,8900,70.0,0,107000
9,1746,758,2006,2,14892,42.0,2,377500
7,1718,427,1998,2,10141,74.0,1,185000
5,1464,480,1963,2,12886,70.0,1,175000
7,1660,493,2002,2,8935,68.0,0,195000
9,1752,576,2005,2,7658,61.0,1,319900
5,2620,600,1977,2,18890,70.0,1,190000
5,784,0,1924,1,6130,50.0,0,109500
4,1120,544,1961,1,6970,85.0,0,129000
4,1382,459,1963,1,11235,75.0,1,148000
6,1386,440,1978,2,11616,70.0,1,158900
1,334,0,1946,1,5000,50.0,0,39300
7,1200,480,2004,2,3182,30.0,0,151000
7,1414,398,2004,2,3072,70.0,1,178740
5,1584,792,1967,2,8944,65.0,0,124000
8,1517,400,1929,1,11435,70.0,2,230000
6,1258,528,1971,2,11040,80.0,0,145000
5,902,288,1967,1,6173,70.0,0,125500
6,1158,576,2004,1,13072,63.0,0,158000
5,964,432,1921,1,13360,80.0,0,163500
6,2380,596,1965,2,18450,70.0,1,129000
7,1232,632,2007,2,7314,64.0,0,194500
5,864,352,1972,1,7180,60.0,0,127000
7,1982,575,1989,2,11287,82.0,1,228500
8,1924,592,1998,2,12011,78.0,1,280000
7,2080,282,1926,1,10918,53.0,2,234000
6,1647,460,1999,2,7917,62.0,1,175000
6,1617,533,1993,2,8012,50.0,1,193000
5,1340,252,1957,1,9060,60.0,1,120000
9,1940,606,2009,2,10159,83.0,1,395192
6,1855,325,1954,2,9525,75.0,0,136900
5,884,504,1983,1,9180,70.0,0,144000
7,1626,474,2003,2,2628,36.0,0,175500
5,1284,240,1947,1,3500,50.0,0,110000
8,2290,779,2002,2,11250,70.0,1,255900
5,816,516,1963,1,8472,110.0,0,110000
7,2183,786,1988,2,13837,70.0,0,229000
5,1869,456,1890,1,8820,98.0,0,124900
7,1646,240,1941,2,7128,53.0,2,164000
8,1844,620,2005,2,10994,88.0,1,257000
8,1571,722,2007,2,10991,89.0,1,239000
7,2082,484,2003,2,11426,63.0,0,200000
7,1959,766,1988,3,11070,82.0,0,171000
8,2374,656,2003,2,11999,93.0,1,285000
6,2142,509,1968,2,13000,100.0,1,193500
7,1200,480,2005,2,3180,30.0,0,144152
8,1992,648,2003,2,9375,75.0,1,250000
8,2285,648,2000,2,11000,70.0,1,248000
9,1850,772,2004,2,16033,98.0,1,326000
5,1355,0,1940,2,10106,62.0,0,127500
7,1668,500,2003,2,11317,72.0,0,180000
6,1406,0,1920,1,7920,70.0,0,89500
8,1228,472,1988,2,4671,40.0,1,189000
6,1638,472,1998,2,9042,59.0,2,192000
4,960,432,1965,1,10921,73.0,0,94750
9,1698,768,2007,2,13286,86.0,1,320000
5,1063,280,1954,1,9920,80.0,0,128000
5,1236,288,1961,1,6993,65.0,1,135000
5,1535,410,1979,2,7018,64.0,0,118964
4,630,0,1972,1,1890,21.0,0,81000
4,1092,286,1970,1,2217,21.0,0,88000
9,1652,840,2006,2,13173,108.0,2,325000
5,1144,456,1961,1,7875,75.0,0,139950
8,1795,895,2006,2,9986,75.0,1,147000
7,1541,843,2001,2,13704,118.0,1,205000
5,1507,404,1960,2,7910,70.0,0,127000
8,1441,492,1999,2,2645,24.0,0,174000
7,1479,577,1999,2,9382,93.0,0,191000
6,987,264,1971,1,1680,21.0,0,89500
4,672,234,1941,1,9340,50.0,0,113000
5,2192,240,1939,2,8400,60.0,1,179500
8,2000,888,2004,2,10386,80.0,0,305900
5,1125,430,2006,1,8536,74.0,0,155000
5,1124,0,1954,1,8335,77.0,1,93000
6,1839,416,1957,2,14442,110.0,2,257500
7,2260,533,1996,2,14000,80.0,0,328000
6,1977,540,1964,1,9500,100.0,1,165000
4,845,360,1982,1,7599,69.0,0,129500
6,1786,684,1997,2,9337,69.0,0,204750
6,2555,672,1922,2,11526,79.0,1,191000
5,1700,447,1959,1,10552,70.0,1,165500
6,1671,472,2000,2,10852,58.0,1,173000
6,1376,198,1937,2,8600,50.0,1,119500
6,1689,480,1956,1,9855,73.0,1,127500
7,2554,704,1890,1,10800,60.0,0,159500
5,1416,720,1915,1,12665,100.0,1,153900
5,816,308,1957,1,7100,73.0,0,129900
7,1370,479,1976,2,10400,80.0,1,152000
6,1442,615,1970,2,11717,70.0,1,185000
5,1285,240,1948,1,8635,50.0,0,127000
7,1474,400,1995,2,8530,70.0,1,168500
7,2013,455,1996,2,9920,92.0,1,269790
8,1563,758,2007,2,10206,78.0,1,245000
4,1192,0,1949,1,10800,60.0,0,135000
4,1774,779,1900,2,9600,60.0,0,87000
7,1962,868,2006,2,8760,73.0,0,239799
7,1302,436,2007,2,8993,73.0,0,176485
6,1118,440,1920,1,4400,40.0,0,116000
9,1766,478,2009,2,9187,85.0,1,370878
7,1253,402,1995,2,7875,63.0,1,176000
6,1097,480,1984,2,9672,81.0,0,152000
5,1078,500,1971,1,12537,70.0,1,149900
6,1572,373,1995,2,10364,70.0,1,168000
7,1524,586,1979,0,23595,70.0,1,260000
7,2060,390,1999,2,8755,70.0,1,214000
6,1344,525,1958,1,14375,70.0,1,137500
7,1818,240,1931,1,7758,70.0,2,169500
4,1029,261,1961,1,7943,61.0,0,118500
6,2521,576,1973,2,3964,42.0,1,151400
6,1500,564,2005,2,8846,68.0,0,173900
8,2217,621,1970,2,15865,95.0,1,268000
8,1370,484,2006,2,6442,44.0,1,202500
6,1262,572,2006,2,7200,60.0,0,185000
7,1894,510,2002,2,11316,80.0,1,214900
8,1694,818,2007,2,12030,93.0,0,318000
4,864,576,1971,1,10500,70.0,0,97000
6,1709,380,2004,2,2522,24.0,0,130000
4,1738,368,1920,2,12513,70.0,1,104900
5,1319,270,1953,1,10634,79.0,0,123000
7,3222,594,1990,3,12376,90.0,2,320000
6,1355,0,1914,1,6882,60.0,0,127000
3,1306,0,1940,1,5350,55.0,0,76500
5,768,396,1972,1,8445,70.0,0,133000
5,1077,205,1939,1,7420,50.0,2,118000
3,1183,308,1948,1,6000,50.0,0,120000
7,1456,400,2007,2,9018,65.0,1,179540
7,2291,429,1999,2,8738,66.0,1,230000
6,848,420,2003,1,4435,70.0,0,140000
10,2332,846,2007,2,12474,96.0,1,426000
5,1348,216,1925,1,6000,50.0,1,117000
6,2108,540,1935,2,13728,120.0,2,235000
4,1336,570,1920,1,11040,60.0,0,108000
5,1344,484,1958,1,9503,70.0,1,144000
8,1935,552,2009,2,8004,75.0,0,263435
4,1470,548,1954,2,8172,60.0,0,135000
7,2156,508,1968,2,20781,70.0,1,262500
5,1728,504,1963,2,9100,70.0,0,125000
7,1768,603,2005,2,9803,75.0,0,226700
5,1048,286,1956,1,10152,72.0,0,135000
7,1728,572,2004,2,9313,65.0,0,190000
8,2358,0,1872,2,5250,50.0,0,122000
7,1146,438,2003,2,9590,73.0,1,187500
8,1601,670,2001,2,11423,70.0,1,272000
5,1920,451,1958,2,13650,70.0,1,172500
4,1363,528,1910,1,7740,60.0,0,125500
5,1148,308,1952,1,6420,57.0,0,123500
7,1294,662,2006,2,6762,64.0,1,193879
5,1248,160,1930,1,9439,52.0,0,87000
8,1419,527,2002,2,7750,70.0,1,184100
6,1440,467,1981,2,12546,70.0,1,182900
5,1140,0,2006,1,17217,90.0,0,84500
7,2090,484,1973,2,10382,70.0,2,200000
7,1640,595,2003,2,7226,72.0,0,183000
6,1679,575,1994,2,8125,65.0,1,193500
6,1218,440,1941,1,6000,60.0,1,131000
5,1142,528,1976,1,4224,44.0,1,134000
5,1110,602,1978,1,9101,70.0,1,165500
5,1164,240,1950,1,10880,68.0,0,125000
5,1192,189,1920,1,6402,60.0,0,78000
7,1422,626,2004,2,8500,63.0,0,179600
5,894,450,1967,1,9764,57.0,0,130000
8,1953,1043,2005,2,10574,85.0,1,252000
7,1792,564,2001,2,12435,80.0,1,231500
4,924,280,1941,1,12180,60.0,0,80000
6,752,264,1984,1,7175,50.0,0,125000
7,1740,240,1940,1,13125,75.0,2,219500
6,1593,389,1992,2,9636,70.0,1,178000
5,1385,720,1952,2,8520,71.0,0,166000
7,1266,453,2005,2,7500,62.0,1,176000
6,1334,630,1977,2,9650,80.0,1,167900
7,1252,462,1999,2,2160,24.0,0,160000
6,2526,216,1916,2,8520,60.0,1,136000
10,2402,672,2008,2,15431,105.0,2,555000
6,1362,502,1920,2,6155,60.0,0,128000
7,2520,721,1995,2,9950,82.0,1,290000
3,944,528,1952,1,10206,74.0,0,82000
5,912,336,1967,1,8521,70.0,1,125000
7,1553,615,2005,2,8125,65.0,0,186500
4,948,248,1954,1,10215,75.0,0,111000
7,1852,644,2009,2,8640,72.0,1,252678
5,1230,440,1910,1,10440,60.0,0,110000
7,1080,0,2004,1,7500,63.0,0,141000
5,1250,280,1918,1,8248,45.0,0,116000
6,1611,442,1964,1,9760,80.0,0,167900
7,1949,574,1993,2,9938,80.0,1,236000
6,1369,300,1925,2,6629,54.0,0,103600
7,1482,392,1992,2,9125,70.0,1,163900
5,1048,280,1922,1,6380,58.0,1,113000
7,1372,529,2007,2,8640,72.0,0,250580
8,1296,471,2001,2,6853,70.0,0,220000
5,990,299,1994,1,8775,65.0,0,126000
6,1489,240,1940,2,9900,60.0,1,139500
7,2172,947,2006,2,14154,109.0,1,280000
7,1266,388,2007,2,3182,43.0,1,159895
6,1218,676,2009,2,7862,75.0,0,208300
6,932,306,1950,1,8280,57.0,1,124000
6,1322,440,1974,2,2308,24.0,1,147000
6,1635,255,1910,1,5310,59.0,0,117000
6,1478,498,1960,2,17600,70.0,2,157500
5,1184,0,1910,1,8410,58.0,0,81000
7,1710,548,2003,2,8450,65.0,0,208500
6,912,470,1978,1,7540,70.0,1,156000
5,1394,400,2006,2,9735,73.0,0,167500
5,970,624,1963,1,8480,80.0,0,132500
6,1034,888,1976,1,12328,70.0,0,169900
7,1720,565,2004,2,11645,89.0,0,196500
5,1387,256,1954,2,6000,50.0,0,93000
6,1357,312,1959,1,11512,124.0,1,177000
5,1264,461,1960,1,9300,73.0,2,167500
7,1767,504,1987,2,5306,44.0,1,239000
6,813,270,1930,1,5684,70.0,0,110000
6,754,0,1935,1,6780,60.0,0,84500
6,1509,600,1988,2,10200,85.0,1,175000
6,1481,343,1994,2,8125,65.0,1,174000
4,960,576,1970,1,9873,60.0,0,129000
4,1040,420,1950,1,7200,60.0,0,109900
4,1040,420,1949,2,7200,60.0,0,90000
7,1802,216,1920,1,7588,54.0,1,200100
8,2610,550,2007,2,9000,75.0,1,303477
5,1466,528,1959,1,17755,134.0,2,149900
5,1652,416,1915,2,10800,60.0,0,139000
7,2097,678,1993,2,11228,59.0,1,228000
8,1625,538,2006,2,4750,44.0,1,235000
7,2287,667,1953,2,15593,81.0,1,225000
9,2822,1020,2008,3,13891,107.0,1,582933
6,2054,390,2000,2,12224,70.0,1,244000
5,1336,375,1953,1,15750,90.0,2,157000
4,894,400,1954,1,9450,68.0,0,110000
8,1719,473,1993,1,10846,32.0,2,324000
7,2127,525,1994,2,10944,81.0,2,271000
6,1251,461,1964,1,8800,80.0,2,160000
5,912,297,1958,1,7535,70.0,0,120000
